geohash6,lat,lon,pop_proxy,puskesmas_count,klinik_count,rs_count,faskes_aplicares_count,nearest_rs_minutes_p95_proxy,equity_index_proxy,flood_risk,earthquake_risk,landslide_risk
-5.049798_114.595416,-5.049798,114.595416,186.16,0,0,0,0,45.018616,1.8616,0.0,0.0,0.0
-5.049798_114.603749,-5.049798,114.60374900000001,258.14,0,0,0,0,45.025814,2.5814,0.0,0.0,0.0
-5.049798_114.612082,-5.049798,114.612082,214.35,0,0,0,0,45.021435,2.1435,0.0,0.0,0.0
-5.058131_114.587083,-5.058131,114.587083,97.7,0,0,0,0,45.00977,0.977,0.0,0.0,0.0
-5.058131_114.595416,-5.058131,114.595416,133.6,0,0,0,0,45.01336,1.3359999999999999,0.0,0.0,0.0
-5.058131_114.603749,-5.058131,114.60374900000001,163.08,0,0,0,0,45.016308,1.6308,0.0,0.0,0.0
-5.058131_114.612082,-5.058131,114.612082,146.77,0,0,0,0,45.014677,1.4677,0.0,0.0,0.0
-5.066464_114.587083,-5.066464,114.587083,89.11,0,0,0,0,45.008911,0.8911,0.0,0.0,0.0
-5.066464_114.595416,-5.066464,114.595416,97.61,0,0,0,0,45.009761,0.9761,0.0,0.0,0.0
-5.066464_114.603749,-5.066464,114.60374900000001,100.98,0,0,0,0,45.010098,1.0098,0.0,0.0,0.0
-5.066464_114.612082,-5.066464,114.612082,96.82,0,0,0,0,45.009682,0.9682,0.0,0.0,0.0
-5.074797_114.587083,-5.074797,114.587083,77.4,0,0,0,0,45.00774,0.774,0.0,0.0,0.0
-5.074797_114.595416,-5.074797,114.595416,79.49,0,0,0,0,45.007949,0.7948999999999999,0.0,0.0,0.0
-5.074797_114.603749,-5.074797,114.60374900000001,83.57,0,0,0,0,45.008357,0.8356999999999999,0.0,0.0,0.0
-5.074797_114.612082,-5.074797,114.612082,78.97,0,0,0,0,45.007897,0.7897,0.0,0.0,0.0
-5.083130_114.595416,-5.08313,114.595416,65.54,0,0,0,0,45.006554,0.6554000000000001,0.0,0.0,0.0
-5.083130_114.603749,-5.08313,114.60374900000001,67.27,0,0,0,0,45.006727,0.6727,0.0,0.0,0.0
-5.083130_114.612082,-5.08313,114.612082,70.35,0,0,0,0,45.007035,0.7034999999999999,0.0,0.0,0.0
-5.091463_114.587083,-5.091463,114.587083,34.34,0,0,0,0,45.003434,0.34340000000000004,0.0,0.0,0.0
-5.091463_114.595416,-5.091463,114.595416,43.35,0,0,0,0,45.004335,0.4335,0.0,0.0,0.0
-5.091463_114.603749,-5.091463,114.60374900000001,47.71,0,0,0,0,45.004771,0.4771,0.0,0.0,0.0
-5.091463_114.612082,-5.091463,114.612082,55.04,0,0,0,0,45.005504,0.5504,0.0,0.0,0.0
-5.099796_114.595416,-5.099796,114.595416,31.31,0,0,0,0,45.003131,0.3131,0.0,0.0,0.0
-5.099796_114.603749,-5.099796,114.60374900000001,30.74,0,0,0,0,45.003074,0.3074,0.0,0.0,0.0
-5.108129_114.595416,-5.108129,114.595416,27.55,0,0,0,0,45.002755,0.2755,0.0,0.0,0.0
-5.433116_114.412090,-5.433116,114.41209,256.75,0,0,0,0,45.025675,2.5675,0.0,0.0,0.0
-5.433116_114.420423,-5.433116,114.420423,258.72,0,0,0,0,45.025872,2.5872,0.0,0.0,0.0
-5.433116_114.428756,-5.433116,114.428756,247.06,0,0,0,0,45.024706,2.4706,0.0,0.0,0.0
-5.441449_114.412090,-5.441449,114.41209,297.93,0,0,0,0,45.029793,2.9793000000000003,0.0,0.0,0.0
-5.441449_114.420423,-5.441449,114.420423,261.95,0,0,0,0,45.026195,2.6195,0.0,0.0,0.0
-5.441449_114.428756,-5.441449,114.428756,210.97,0,0,0,0,45.021097,2.1097,0.0,0.0,0.0
-5.441449_114.437089,-5.441449,114.437089,132.25,0,0,0,0,45.013225,1.3225,0.0,0.0,0.0
-5.449782_114.412090,-5.449782,114.41209,249.63,0,0,0,0,45.024963,2.4962999999999997,0.0,0.0,0.0
-5.449782_114.420423,-5.449782,114.420423,206.13,0,0,0,0,45.020613,2.0613,0.0,0.0,0.0
-5.449782_114.428756,-5.449782,114.428756,164.53,0,0,0,0,45.016453,1.6453,0.0,0.0,0.0
-5.449782_114.437089,-5.449782,114.437089,139.14,0,0,0,0,45.013914,1.3914,0.0,0.0,0.0
-5.458115_114.412090,-5.458115,114.41209,161.47,0,0,0,0,45.016147,1.6147,0.0,0.0,0.0
-5.458115_114.420423,-5.458115,114.420423,183.79,0,0,0,0,45.018379,1.8378999999999999,0.0,0.0,0.0
-5.458115_114.428756,-5.458115,114.428756,226.57,0,0,0,0,45.022657,2.2657,0.0,0.0,0.0
-5.458115_114.437089,-5.458115,114.437089,192.86,0,0,0,0,45.019286,1.9286,0.0,0.0,0.0
-5.466448_114.420423,-5.466448,114.420423,229.72,0,0,0,0,45.022972,2.2972,0.0,0.0,0.0
-5.466448_114.428756,-5.466448,114.428756,233.8,0,0,0,0,45.02338,2.338,0.0,0.0,0.0
-5.466448_114.437089,-5.466448,114.437089,225.51,0,0,0,0,45.022551,2.2551,0.0,0.0,0.0
